,DBA,BORO,BUILDING,STREET,CUISINE DESCRIPTION,Latitude,Longitude,SCORE,GRADE,RECORD DATE
285200,STORICO/PARLIAMENT CAFE,Manhattan,170,CENTRAL PARK W,Italian,40.779257976444,-73.973742493164,12.0,A,02/16/2020
284994,GOLDEN WOK CHINESE RESTAURANT,Manhattan,209,8TH AVE,Chinese,40.743779491032,-73.99958859246999,21.0,B,02/16/2020
284952,MARUZZELLA,Manhattan,1483,FIRST AVENUE,Italian,40.771242364227,-73.953495312122,7.0,A,02/16/2020
284420,ANCHOR WINEBAR,Manhattan,3508,BROADWAY,Italian,40.825414508934,-73.95117371114999,10.0,A,02/16/2020
282597,COMPLETE BODY & SPA,Manhattan,301,EAST   57 STREET,American,40.759257400334,-73.96517019855601,12.0,A,02/16/2020
282465,GLASS HOUSE TAVERN,Manhattan,252,WEST   47 STREET,American,40.759898653530996,-73.986311961805,13.0,A,02/16/2020
221824,CANTINA ROOFTOP,Manhattan,605,WEST   48 STREET,American,40.764782321065,-73.995902672239,12.0,A,02/16/2020
221143,CELLINI,Manhattan,65,EAST   54 STREET,Italian,40.760044512138,-73.97300649370999,13.0,A,02/16/2020
219775,TAVOLA,Manhattan,488,9 AVENUE,Italian,40.755480288427,-73.9947662622,13.0,A,02/16/2020
218358,COTE KOREAN STEAKHOUSE,Manhattan,16,W 22ND ST,Korean,40.741207287051,-73.990884428532,10.0,A,02/16/2020
228806,LILY'S BAR @ ROGER SMITH HOTEL,Manhattan,501,LEXINGTON AVENUE,American,40.754703361278,-73.973654754834,10.0,A,02/16/2020
223606,DALI MARKET,Manhattan,461,7TH AVE,American,40.751513812921,-73.990222518441,13.0,A,02/16/2020
224036,FELIDIA RESTAURANT,Manhattan,243,EAST   58 STREET,Italian,40.760479059273,-73.965974530748,21.0,B,02/16/2020
217334,LA BELLA VITA,Manhattan,163,MULBERRY STREET,Italian,40.719746293725,-73.99714283495999,13.0,A,02/16/2020
212098,COLUMBUS GOURMET FOOD,Manhattan,261,COLUMBUS AVE STORE #2,American,40.777557250664,-73.978671738806,9.0,A,02/16/2020
211856,JOSHUA TREE,Manhattan,513,3 AVENUE,American,40.745989644115,-73.97791317578499,11.0,A,02/16/2020
211099,BARBACON,Manhattan,127,4TH AVE,American,40.733206220277,-73.9899257293,7.0,A,02/16/2020
208671,WHITE OAK TAVERN,Manhattan,21,WAVERLY PL,American,40.730250424208,-73.99461310301,6.0,A,02/16/2020
212330,MORSO,Manhattan,420,EAST   59 STREET,Italian,40.759324783265,-73.961311411203,12.0,A,02/16/2020
216070,SPA CASTLE PREMIER,Manhattan,115,E 57TH ST,Korean,40.761292629492004,-73.969995420464,28.0,C,02/16/2020
215201,MAMA EATERY,Manhattan,46,MULBERRY STREET,American,40.714995135114,-73.999628450833,10.0,A,02/16/2020
244325,TROPICAL SPANISH RESTAURANT,Manhattan,3771,BROADWAY,Spanish,40.833969973095,-73.945323975296,13.0,A,02/16/2020
244272,OSAMIL,Manhattan,5,W 31ST ST,Korean,40.746743033122,-73.986437381191,13.0,A,02/16/2020
242918,DUBUMARU,Manhattan,34,W 32ND ST,Korean,40.747819056202005,-73.98710122790101,13.0,A,02/16/2020
